"Election","ReportingJurisdiction","TypeofReferendum","ReferendumTitle","ReferendumText","DataEntryJurisdictionName","DataEntryLevelName","YesVotes","NoVotes"
"2020 General Election","Lake","Supreme Court Justice Retention","Retention of Justice of the Supreme Court of Indiana","Shall Justice Christopher M. Goff be retained in office?","Lake","Locality","107084","47979"
"2020 General Election","Laporte","Court Of Appeals Judge Retention","Court of Appeals Judicial Retention - Fifth District","Shall Judge Elaine B. Brown be retained in office?","Laporte","Locality","26170","9274"
"2020 General Election","Laporte","Court Of Appeals Judge Retention","Court of Appeals Judicial Retention - Fifth District","Shall Judge Margret G. Robb be retained in office?","Laporte","Locality","26470","9016"
"2020 General Election","Laporte","Court Of Appeals Judge Retention","Court of Appeals Judicial Retention - Fourth District","Shall Judge Melissa S. May be retained in office?","Laporte","Locality","26604","8647"
"2020 General Election","Laporte","Court Of Appeals Judge Retention","Court of Appeals Judicial Retention - Third District","Shall Judge Elizabeth Thoman Tavitas be retained in office?","Laporte","Locality","26409","9046"
"2020 General Election","Laporte","Supreme Court Justice Retention","Retention of Justice of the Supreme Court of Indiana","Shall Justice Christopher M. Goff be retained in office?","Laporte","Locality","25611","10332"
"2020 General Election","Lawrence","Court Of Appeals Judge Retention","Court of Appeals Judicial Retention - Fifth District","Shall Judge Elaine B. Brown be retained in office?","Lawrence","Locality","11243","2945"
"2020 General Election","Lawrence","Court Of Appeals Judge Retention","Court of Appeals Judicial Retention - Fifth District","Shall Judge Margret G. Robb be retained in office?","Lawrence","Locality","11313","3000"
"2020 General Election","Lawrence","Court Of Appeals Judge Retention","Court of Appeals Judicial Retention - First District","Shall Judge Lloyd Mark Bailey be retained in office?","Lawrence","Locality","11090","3204"
"2020 General Election","Lawrence","Court Of Appeals Judge Retention","Court of Appeals Judicial Retention - Fourth District","Shall Judge Melissa S. May be retained in office?","Lawrence","Locality","11453","2951"
"2020 General Election","Lawrence","Supreme Court Justice Retention","Retention of Justice of the Supreme Court of Indiana","Shall Justice Christopher M. Goff be retained in office?","Lawrence","Locality","11328","3191"
"2020 General Election","Madison","Court Of Appeals Judge Retention","Court of Appeals Judicial Retention - Fifth District","Shall Judge Elaine B. Brown be retained in office?","Madison","Locality","32583","10520"
"2020 General Election","Madison","Court Of Appeals Judge Retention","Court of Appeals Judicial Retention - Fifth District","Shall Judge Margret G. Robb be retained in office?","Madison","Locality","32592","10406"
"2020 General Election","Madison","Court Of Appeals Judge Retention","Court of Appeals Judicial Retention - Fourth District","Shall Judge Melissa S. May be retained in office?","Madison","Locality","32908","10144"
"2020 General Election","Madison","Court Of Appeals Judge Retention","Court of Appeals Judicial Retention - Second District","Shall Judge Cale Bradford be retained in office?","Madison","Locality","31607","11447"
"2020 General Election","Madison","Supreme Court Justice Retention","Retention of Justice of the Supreme Court of Indiana","Shall Justice Christopher M. Goff be retained in office?","Madison","Locality","31742","11638"
"2020 General Election","Marion","Court Of Appeals Judge Retention","Court of Appeals Judicial Retention - Fifth District","Shall Judge Elaine B. Brown be retained in office?","Marion","Locality","230035","65676"
"2020 General Election","Marion","Court Of Appeals Judge Retention","Court of Appeals Judicial Retention - Fifth District","Shall Judge Margret G. Robb be retained in office?","Marion","Locality","228559","65486"
"2020 General Election","Marion","Court Of Appeals Judge Retention","Court of Appeals Judicial Retention - Fourth District","Shall Judge Melissa S. May be retained in office?","Marion","Locality","233655","63500"
"2020 General Election","Marion","Court Of Appeals Judge Retention","Court of Appeals Judicial Retention - Second District","Shall Judge Cale Bradford be retained in office?","Marion","Locality","212211","86234"
"2020 General Election","Marion","Local Judge Retention","Ayres - Marion County Judicial Retention","Shall Judge Cynthia Jane Ayers be retained in office?","Marion","Locality","231142","63393"
"2020 General Election","Marion","Local Judge Retention","Certo - Marion County Judicial Retention","Shall Judge David J. Certo be retained in office?","Marion","Locality","209820","81502"
"2020 General Election","Marion","Local Judge Retention","Christ - Marion County Judicial Retention","Shall Judge Elizabeth Ann Christ be retained in office?","Marion","Locality","226215","65631"
"2020 General Election","Marion","Local Judge Retention","Davis - Marion County Judicial Retention","Shall Judge Angela Davis be retained in office?","Marion","Locality","235917","56388"
"2020 General Election","Marion","Local Judge Retention","Dietrick - Marion County Judicial Retention","Shall Judge Patrick J. Dietrick be retained in office?","Marion","Locality","208568","79882"
"2020 General Election","Marion","Local Judge Retention","Eisgruber - Marion County Judicial Retention","Shall Judge Kurt M. Eisgruber be retained in office?","Marion","Locality","199069","88190"
"2020 General Election","Marion","Local Judge Retention","Flowers - Marion County Judicial Retention","Shall Judge Shatrese M. Flowers be retained in office?","Marion","Locality","227181","61319"
"2020 General Election","Marion","Local Judge Retention","Klineman - Marion County Judicial Retention","Shall Judge Christina Rose Klineman be retained in office?","Marion","Locality","225224","61968"
"2020 General Election","Marion","Local Judge Retention","Miller - Marion County Judicial Retention","Shall Judge Gary L. Miller be retained in office?","Marion","Locality","207588","78472"
"2020 General Election","Marion","Local Judge Retention","Oakes - Marion County Judicial Retention","Shall Judge Timothy Oakes be retained in office?","Marion","Locality","204906","79593"
"2020 General Election","Marion","Local Judge Retention","Osborn - Marion County Judicial Retention","Shall Judge James B. Osborn be retained in office?","Marion","Locality","210782","72707"
"2020 General Election","Marion","Local Judge Retention","Pratt - Marion County Judicial Retention","Shall Judge Marcel A. Pratt, Jr. be retained in office?","Marion","Locality","221253","63478"
"2020 General Election","Marion","Local Judge Retention","Rothenberg - Marion County Judicial Retention","Shall Judge Marc Rothenberg be retained in office?","Marion","Locality","203928","78865"
"2020 General Election","Marion","Supreme Court Justice Retention","Retention of Justice of the Supreme Court of Indiana","Shall Justice Christopher M. Goff be retained in office?","Marion","Locality","212842","90240"
"2020 General Election","Marshall","Court Of Appeals Judge Retention","Court of Appeals Judicial Retention - Fifth District","Shall Judge Elaine B. Brown be retained in office?","Marshall","Locality","11654","2787"
"2020 General Election","Marshall","Court Of Appeals Judge Retention","Court of Appeals Judicial Retention - Fifth District","Shall Judge Margret G. Robb be retained in office?","Marshall","Locality","11639","2780"
"2020 General Election","Marshall","Court Of Appeals Judge Retention","Court of Appeals Judicial Retention - Fourth District","Shall Judge Melissa S. May be retained in office?","Marshall","Locality","11652","2699"
"2020 General Election","Marshall","Court Of Appeals Judge Retention","Court of Appeals Judicial Retention - Third District","Shall Judge Elizabeth Thoman Tavitas be retained in office?","Marshall","Locality","11624","2772"
"2020 General Election","Marshall","Local Public Question","Public Question","""For the eight (8) calendar years immediately following the holding of the referendum, shall the Bremen Public Schools impose a property tax rate that does not exceed six cents ($0.06) on each one hundred dollars ($100) of assessed valuation and that is in addition to all other property taxes imposed by the school corporation for the purpose of funding student health services including an additional nurse and student mental health support?""","Marshall","Locality","2316","788"
"2020 General Election","Marshall","Supreme Court Justice Retention","Retention of Justice of the Supreme Court of Indiana","Shall Justice Christopher M. Goff be retained in office?","Marshall","Locality","11535","3077"
"2020 General Election","Martin","Court Of Appeals Judge Retention","Court of Appeals Judicial Retention - Fifth District","Shall Judge Elaine B. Brown be retained in office?","Martin","Locality","2747","974"
"2020 General Election","Martin","Court Of Appeals Judge Retention","Court of Appeals Judicial Retention - Fifth District","Shall Judge Margret G. Robb be retained in office?","Martin","Locality","2690","1005"
"2020 General Election","Martin","Court Of Appeals Judge Retention","Court of Appeals Judicial Retention - First District","Shall Judge Lloyd Mark Bailey be retained in office?","Martin","Locality","2628","1075"
"2020 General Election","Martin","Court Of Appeals Judge Retention","Court of Appeals Judicial Retention - Fourth District","Shall Judge Melissa S. May be retained in office?","Martin","Locality","2711","983"
"2020 General Election","Martin","Supreme Court Justice Retention","Retention of Justice of the Supreme Court of Indiana","Shall Justice Christopher M. Goff be retained in office?","Martin","Locality","2697","1044"
"2020 General Election","Miami","Court Of Appeals Judge Retention","Court of Appeals Judicial Retention - Fifth District","Shall Judge Elaine B. Brown be retained in office?","Miami","Locality","7766","2114"
"2020 General Election","Miami","Court Of Appeals Judge Retention","Court of Appeals Judicial Retention - Fifth District","Shall Judge Margret G. Robb be retained in office?","Miami","Locality","7817","2146"
"2020 General Election","Miami","Court Of Appeals Judge Retention","Court of Appeals Judicial Retention - Fourth District","Shall Judge Melissa S. May be retained in office?","Miami","Locality","7897","2116"
"2020 General Election","Miami","Court Of Appeals Judge Retention","Court of Appeals Judicial Retention - Second District","Shall Judge Cale Bradford be retained in office?","Miami","Locality","7603","2333"
"2020 General Election","Miami","Supreme Court Justice Retention","Retention of Justice of the Supreme Court of Indiana","Shall Justice Christopher M. Goff be retained in office?","Miami","Locality","7836","2330"
"2020 General Election","Monroe","Court Of Appeals Judge Retention","Court of Appeals Judicial Retention - Fifth District","Shall Judge Elaine B. Brown be retained in office?","Monroe","Locality","30102","8964"
"2020 General Election","Monroe","Court Of Appeals Judge Retention","Court of Appeals Judicial Retention - Fifth District","Shall Judge Margret G. Robb be retained in office?","Monroe","Locality","32746","7739"
"2020 General Election","Monroe","Court Of Appeals Judge Retention","Court of Appeals Judicial Retention - First District","Shall Judge Lloyd Mark Bailey be retained in office?","Monroe","Locality","30008","10177"
"2020 General Election","Monroe","Court Of Appeals Judge Retention","Court of Appeals Judicial Retention - Fourth District","Shall Judge Melissa S. May be retained in office?","Monroe","Locality","32802","7623"
"2020 General Election","Monroe","Supreme Court Justice Retention","Retention of Justice of the Supreme Court of Indiana","Shall Justice Christopher M. Goff be retained in office?","Monroe","Locality","29381","11721"
"2020 General Election","Montgomery","Court Of Appeals Judge Retention","Court of Appeals Judicial Retention - Fifth District","Shall Judge Elaine B. Brown be retained in office?","Montgomery","Locality","10878","2669"
"2020 General Election","Montgomery","Court Of Appeals Judge Retention","Court of Appeals Judicial Retention - Fifth District","Shall Judge Margret G. Robb be retained in office?","Montgomery","Locality","10981","2730"
"2020 General Election","Montgomery","Court Of Appeals Judge Retention","Court of Appeals Judicial Retention - First District","Shall Judge Lloyd Mark Bailey be retained in office?","Montgomery","Locality","10648","2927"
"2020 General Election","Montgomery","Court Of Appeals Judge Retention","Court of Appeals Judicial Retention - Fourth District","Shall Judge Melissa S. May be retained in office?","Montgomery","Locality","10830","2659"
"2020 General Election","Montgomery","Supreme Court Justice Retention","Retention of Justice of the Supreme Court of Indiana","Shall Justice Christopher M. Goff be retained in office?","Montgomery","Locality","10818","2879"
"2020 General Election","Morgan","Court Of Appeals Judge Retention","Court of Appeals Judicial Retention - Fifth District","Shall Judge Elaine B. Brown be retained in office?","Morgan","Locality","19469","4728"
"2020 General Election","Morgan","Court Of Appeals Judge Retention","Court of Appeals Judicial Retention - Fifth District","Shall Judge Margret G. Robb be retained in office?","Morgan","Locality","19349","4770"
"2020 General Election","Morgan","Court Of Appeals Judge Retention","Court of Appeals Judicial Retention - First District","Shall Judge Lloyd Mark Bailey be retained in office?","Morgan","Locality","18987","5185"
"2020 General Election","Morgan","Court Of Appeals Judge Retention","Court of Appeals Judicial Retention - Fourth District","Shall Judge Melissa S. May be retained in office?","Morgan","Locality","19401","4664"
"2020 General Election","Morgan","Supreme Court Justice Retention","Retention of Justice of the Supreme Court of Indiana","Shall Justice Christopher M. Goff be retained in office?","Morgan","Locality","19261","5134"
"2020 General Election","Newton","Court Of Appeals Judge Retention","Court of Appeals Judicial Retention - Fifth District","Shall Judge Elaine B. Brown be retained in office?","Newton","Locality","3940","1092"
"2020 General Election","Newton","Court Of Appeals Judge Retention","Court of Appeals Judicial Retention - Fifth District","Shall Judge Margret G. Robb be retained in office?","Newton","Locality","3896","1091"
"2020 General Election","Newton","Court Of Appeals Judge Retention","Court of Appeals Judicial Retention - Fourth District","Shall Judge Melissa S. May be retained in office?","Newton","Locality","3954","1029"
"2020 General Election","Newton","Court Of Appeals Judge Retention","Court of Appeals Judicial Retention - Third District","Shall Judge Elizabeth Thoman Tavitas be retained in office?","Newton","Locality","3906","1078"
"2020 General Election","Newton","Supreme Court Justice Retention","Retention of Justice of the Supreme Court of Indiana","Shall Justice Christopher M. Goff be retained in office?","Newton","Locality","3884","1160"
"2020 General Election","Noble","Court Of Appeals Judge Retention","Court of Appeals Judicial Retention - Fifth District","Shall Judge Elaine B. Brown be retained in office?","Noble","Locality","10928","2409"
"2020 General Election","Noble","Court Of Appeals Judge Retention","Court of Appeals Judicial Retention - Fifth District","Shall Judge Margret G. Robb be retained in office?","Noble","Locality","10860","2431"
"2020 General Election","Noble","Court Of Appeals Judge Retention","Court of Appeals Judicial Retention - Fourth District","Shall Judge Melissa S. May be retained in office?","Noble","Locality","10914","2357"
"2020 General Election","Noble","Court Of Appeals Judge Retention","Court of Appeals Judicial Retention - Third District","Shall Judge Elizabeth Thoman Tavitas be retained in office?","Noble","Locality","10934","2347"
"2020 General Election","Noble","Supreme Court Justice Retention","Retention of Justice of the Supreme Court of Indiana","Shall Justice Christopher M. Goff be retained in office?","Noble","Locality","10917","2569"
"2020 General Election","Ohio","Court Of Appeals Judge Retention","Court of Appeals Judicial Retention - Fifth District","Shall Judge Elaine B. Brown be retained in office?","Ohio","Locality","1673","414"
"2020 General Election","Ohio","Court Of Appeals Judge Retention","Court of Appeals Judicial Retention - Fifth District","Shall Judge Margret G. Robb be retained in office?","Ohio","Locality","1782","441"
"2020 General Election","Ohio","Court Of Appeals Judge Retention","Court of Appeals Judicial Retention - First District","Shall Judge Lloyd Mark Bailey be retained in office?","Ohio","Locality","1775","445"
"2020 General Election","Ohio","Court Of Appeals Judge Retention","Court of Appeals Judicial Retention - Fourth District","Shall Judge Melissa S. May be retained in office?","Ohio","Locality","1803","415"
"2020 General Election","Ohio","Supreme Court Justice Retention","Retention of Justice of the Supreme Court of Indiana","Shall Justice Christopher M. Goff be retained in office?","Ohio","Locality","1811","446"
"2020 General Election","Orange","Court Of Appeals Judge Retention","Court of Appeals Judicial Retention - Fifth District","Shall Judge Elaine B. Brown be retained in office?","Orange","Locality","5060","1378"
"2020 General Election","Orange","Court Of Appeals Judge Retention","Court of Appeals Judicial Retention - Fifth District","Shall Judge Margret G. Robb be retained in office?","Orange","Locality","5124","1405"
"2020 General Election","Orange","Court Of Appeals Judge Retention","Court of Appeals Judicial Retention - First District","Shall Judge Lloyd Mark Bailey be retained in office?","Orange","Locality","4919","1481"
"2020 General Election","Orange","Court Of Appeals Judge Retention","Court of Appeals Judicial Retention - Fourth District","Shall Judge Melissa S. May be retained in office?","Orange","Locality","5195","1364"
"2020 General Election","Orange","Supreme Court Justice Retention","Retention of Justice of the Supreme Court of Indiana","Shall Justice Christopher M. Goff be retained in office?","Orange","Locality","4927","1551"
"2020 General Election","Owen","Court Of Appeals Judge Retention","Court of Appeals Judicial Retention - Fifth District","Shall Judge Elaine B. Brown be retained in office?","Owen","Locality","5380","1651"
"2020 General Election","Owen","Court Of Appeals Judge Retention","Court of Appeals Judicial Retention - Fifth District","Shall Judge Margret G. Robb be retained in office?","Owen","Locality","5475","1655"
"2020 General Election","Owen","Court Of Appeals Judge Retention","Court of Appeals Judicial Retention - First District","Shall Judge Lloyd Mark Bailey be retained in office?","Owen","Locality","5240","1729"
"2020 General Election","Owen","Court Of Appeals Judge Retention","Court of Appeals Judicial Retention - Fourth District","Shall Judge Melissa S. May be retained in office?","Owen","Locality","5592","1608"
"2020 General Election","Owen","Supreme Court Justice Retention","Retention of Justice of the Supreme Court of Indiana","Shall Justice Christopher M. Goff be retained in office?","Owen","Locality","5276","1803"
"2020 General Election","Parke","Court Of Appeals Judge Retention","Court of Appeals Judicial Retention - Fifth District","Shall Judge Elaine B. Brown be retained in office?","Parke","Locality","4134","1263"
"2020 General Election","Parke","Court Of Appeals Judge Retention","Court of Appeals Judicial Retention - Fifth District","Shall Judge Margret G. Robb be retained in office?","Parke","Locality","4137","1306"
"2020 General Election","Parke","Court Of Appeals Judge Retention","Court of Appeals Judicial Retention - First District","Shall Judge Lloyd Mark Bailey be retained in office?","Parke","Locality","4019","1377"
"2020 General Election","Parke","Court Of Appeals Judge Retention","Court of Appeals Judicial Retention - Fourth District","Shall Judge Melissa S. May be retained in office?","Parke","Locality","4167","1294"
"2020 General Election","Parke","Supreme Court Justice Retention","Retention of Justice of the Supreme Court of Indiana","Shall Justice Christopher M. Goff be retained in office?","Parke","Locality","4142","1356"
"2020 General Election","Perry","Court Of Appeals Judge Retention","Court of Appeals Judicial Retention - Fifth District","Shall Judge Elaine B. Brown be retained in office?","Perry","Locality","4697","1563"
"2020 General Election","Perry","Court Of Appeals Judge Retention","Court of Appeals Judicial Retention - Fifth District","Shall Judge Margret G. Robb be retained in office?","Perry","Locality","4718","1575"
"2020 General Election","Perry","Court Of Appeals Judge Retention","Court of Appeals Judicial Retention - First District","Shall Judge Lloyd Mark Bailey be retained in office?","Perry","Locality","4642","1631"
"2020 General Election","Perry","Court Of Appeals Judge Retention","Court of Appeals Judicial Retention - Fourth District","Shall Judge Melissa S. May be retained in office?","Perry","Locality","4782","1520"
"2020 General Election","Perry","Supreme Court Justice Retention","Retention of Justice of the Supreme Court of Indiana","Shall Justice Christopher M. Goff be retained in office?","Perry","Locality","4618","1737"
"2020 General Election","Pike","Court Of Appeals Judge Retention","Court of Appeals Judicial Retention - Fifth District","Shall Judge Elaine B. Brown be retained in office?","Pike","Locality","3473","1183"
"2020 General Election","Pike","Court Of Appeals Judge Retention","Court of Appeals Judicial Retention - Fifth District","Shall Judge Margret G. Robb be retained in office?","Pike","Locality","3476","1191"
"2020 General Election","Pike","Court Of Appeals Judge Retention","Court of Appeals Judicial Retention - First District","Shall Judge Lloyd Mark Bailey be retained in office?","Pike","Locality","3335","1266"
"2020 General Election","Pike","Court Of Appeals Judge Retention","Court of Appeals Judicial Retention - Fourth District","Shall Judge Melissa S. May be retained in office?","Pike","Locality","3522","1159"
"2020 General Election","Pike","Supreme Court Justice Retention","Retention of Justice of the Supreme Court of Indiana","Shall Justice Christopher M. Goff be retained in office?","Pike","Locality","3366","1279"
"2020 General Election","Porter","Court Of Appeals Judge Retention","Court of Appeals Judicial Retention - Fifth District","Shall Judge Elaine B. Brown be retained in office?","Porter","Locality","58665","17535"
"2020 General Election","Porter","Court Of Appeals Judge Retention","Court of Appeals Judicial Retention - Fifth District","Shall Judge Margret G. Robb be retained in office?","Porter","Locality","59138","16595"
"2020 General Election","Porter","Court Of Appeals Judge Retention","Court of Appeals Judicial Retention - Fourth District","Shall Judge Melissa S. May be retained in office?","Porter","Locality","59770","16134"
"2020 General Election","Porter","Court Of Appeals Judge Retention","Court of Appeals Judicial Retention - Third District","Shall Judge Elizabeth Thoman Tavitas be retained in office?","Porter","Locality","58387","17217"
"2020 General Election","Porter","Supreme Court Justice Retention","Retention of Justice of the Supreme Court of Indiana","Shall Justice Christopher M. Goff be retained in office?","Porter","Locality","56838","19796"
"2020 General Election","Posey","Court Of Appeals Judge Retention","Court of Appeals Judicial Retention - Fifth District","Shall Judge Elaine B. Brown be retained in office?","Posey","Locality","8839","1883"
"2020 General Election","Posey","Court Of Appeals Judge Retention","Court of Appeals Judicial Retention - Fifth District","Shall Judge Margret G. Robb be retained in office?","Posey","Locality","8900","1841"
"2020 General Election","Posey","Court Of Appeals Judge Retention","Court of Appeals Judicial Retention - First District","Shall Judge Lloyd Mark Bailey be retained in office?","Posey","Locality","8773","1949"
"2020 General Election","Posey","Court Of Appeals Judge Retention","Court of Appeals Judicial Retention - Fourth District","Shall Judge Melissa S. May be retained in office?","Posey","Locality","8903","1809"
"2020 General Election","Posey","Supreme Court Justice Retention","Retention of Justice of the Supreme Court of Indiana","Shall Justice Christopher M. Goff be retained in office?","Posey","Locality","8787","2017"
"2020 General Election","Pulaski","Court Of Appeals Judge Retention","Court of Appeals Judicial Retention - Fifth District","Shall Judge Elaine B. Brown be retained in office?","Pulaski","Locality","3157","1062"
"2020 General Election","Pulaski","Court Of Appeals Judge Retention","Court of Appeals Judicial Retention - Fifth District","Shall Judge Margret G. Robb be retained in office?","Pulaski","Locality","3154","1047"
"2020 General Election","Pulaski","Court Of Appeals Judge Retention","Court of Appeals Judicial Retention - Fourth District","Shall Judge Melissa S. May be retained in office?","Pulaski","Locality","3158","1026"
"2020 General Election","Pulaski","Court Of Appeals Judge Retention","Court of Appeals Judicial Retention - Third District","Shall Judge Elizabeth Thoman Tavitas be retained in office?","Pulaski","Locality","3111","1085"
"2020 General Election","Pulaski","Supreme Court Justice Retention","Retention of Justice of the Supreme Court of Indiana","Shall Justice Christopher M. Goff be retained in office?","Pulaski","Locality","3136","1151"
"2020 General Election","Putnam","Court Of Appeals Judge Retention","Court of Appeals Judicial Retention - Fifth District","Shall Judge Elaine B. Brown be retained in office?","Putnam","Locality","9678","2465"
"2020 General Election","Putnam","Court Of Appeals Judge Retention","Court of Appeals Judicial Retention - Fifth District","Shall Judge Margret G. Robb be retained in office?","Putnam","Locality","9642","2424"
"2020 General Election","Putnam","Court Of Appeals Judge Retention","Court of Appeals Judicial Retention - First District","Shall Judge Lloyd Mark Bailey be retained in office?","Putnam","Locality","9483","2599"
"2020 General Election","Putnam","Court Of Appeals Judge Retention","Court of Appeals Judicial Retention - Fourth District","Shall Judge Melissa S. May be retained in office?","Putnam","Locality","9652","2393"
"2020 General Election","Putnam","Supreme Court Justice Retention","Retention of Justice of the Supreme Court of Indiana","Shall Justice Christopher M. Goff be retained in office?","Putnam","Locality","9123","2497"
"2020 General Election","Randolph","Court Of Appeals Judge Retention","Court of Appeals Judicial Retention - Fifth District","Shall Judge Elaine B. Brown be retained in office?","Randolph","Locality","6906","1698"
"2020 General Election","Randolph","Court Of Appeals Judge Retention","Court of Appeals Judicial Retention - Fifth District","Shall Judge Margret G. Robb be retained in office?","Randolph","Locality","6807","1718"
"2020 General Election","Randolph","Court Of Appeals Judge Retention","Court of Appeals Judicial Retention - First District","Shall Judge Lloyd Mark Bailey be retained in office?","Randolph","Locality","6716","1857"
"2020 General Election","Randolph","Court Of Appeals Judge Retention","Court of Appeals Judicial Retention - Fourth District","Shall Judge Melissa S. May be retained in office?","Randolph","Locality","6859","1680"
"2020 General Election","Randolph","Supreme Court Justice Retention","Retention of Justice of the Supreme Court of Indiana","Shall Justice Christopher M. Goff be retained in office?","Randolph","Locality","6885","1843"
"2020 General Election","Ripley","Court Of Appeals Judge Retention","Court of Appeals Judicial Retention - Fifth District","Shall Judge Elaine B. Brown be retained in office?","Ripley","Locality","8686","1968"
"2020 General Election","Ripley","Court Of Appeals Judge Retention","Court of Appeals Judicial Retention - Fifth District","Shall Judge Margret G. Robb be retained in office?","Ripley","Locality","8511","1992"
"2020 General Election","Ripley","Court Of Appeals Judge Retention","Court of Appeals Judicial Retention - First District","Shall Judge Lloyd Mark Bailey be retained in office?","Ripley","Locality","8587","1986"
"2020 General Election","Ripley","Court Of Appeals Judge Retention","Court of Appeals Judicial Retention - Fourth District","Shall Judge Melissa S. May be retained in office?","Ripley","Locality","8604","1918"
"2020 General Election","Ripley","Supreme Court Justice Retention","Retention of Justice of the Supreme Court of Indiana","Shall Justice Christopher M. Goff be retained in office?","Ripley","Locality","8698","2025"
"2020 General Election","Rush","Court Of Appeals Judge Retention","Court of Appeals Judicial Retention - Fifth District","Shall Judge Elaine B. Brown be retained in office?","Rush","Locality","4521","1147"
"2020 General Election","Rush","Court Of Appeals Judge Retention","Court of Appeals Judicial Retention - Fifth District","Shall Judge Margret G. Robb be retained in office?","Rush","Locality","4535","1133"
"2020 General Election","Rush","Court Of Appeals Judge Retention","Court of Appeals Judicial Retention - First District","Shall Judge Lloyd Mark Bailey be retained in office?","Rush","Locality","4455","1231"
"2020 General Election","Rush","Court Of Appeals Judge Retention","Court of Appeals Judicial Retention - Fourth District","Shall Judge Melissa S. May be retained in office?","Rush","Locality","4525","1112"
"2020 General Election","Rush","Supreme Court Justice Retention","Retention of Justice of the Supreme Court of Indiana","Shall Justice Christopher M. Goff be retained in office?","Rush","Locality","4529","1244"
"2020 General Election","Scott","Court Of Appeals Judge Retention","Court of Appeals Judicial Retention - Fifth District","Shall Judge Elaine B. Brown be retained in office?","Scott","Locality","5538","1728"
"2020 General Election","Scott","Court Of Appeals Judge Retention","Court of Appeals Judicial Retention - Fifth District","Shall Judge Margret G. Robb be retained in office?","Scott","Locality","5649","1757"
"2020 General Election","Scott","Court Of Appeals Judge Retention","Court of Appeals Judicial Retention - First District","Shall Judge Lloyd Mark Bailey be retained in office?","Scott","Locality","5427","1857"
"2020 General Election","Scott","Court Of Appeals Judge Retention","Court of Appeals Judicial Retention - Fourth District","Shall Judge Melissa S. May be retained in office?","Scott","Locality","5583","1687"
"2020 General Election","Scott","Supreme Court Justice Retention","Retention of Justice of the Supreme Court of Indiana","Shall Justice Christopher M. Goff be retained in office?","Scott","Locality","5443","1914"
"2020 General Election","Shelby","Court Of Appeals Judge Retention","Court of Appeals Judicial Retention - Fifth District","Shall Judge Elaine B. Brown be retained in office?","Shelby","Locality","11955","2736"
"2020 General Election","Shelby","Court Of Appeals Judge Retention","Court of Appeals Judicial Retention - Fifth District","Shall Judge Margret G. Robb be retained in office?","Shelby","Locality","11875","2716"
"2020 General Election","Shelby","Court Of Appeals Judge Retention","Court of Appeals Judicial Retention - First District","Shall Judge Lloyd Mark Bailey be retained in office?","Shelby","Locality","11633","3038"
"2020 General Election","Shelby","Court Of Appeals Judge Retention","Court of Appeals Judicial Retention - Fourth District","Shall Judge Melissa S. May be retained in office?","Shelby","Locality","11882","2700"
"2020 General Election","Shelby","Supreme Court Justice Retention","Retention of Justice of the Supreme Court of Indiana","Shall Justice Christopher M. Goff be retained in office?","Shelby","Locality","11835","3041"
"2020 General Election","Spencer","Court Of Appeals Judge Retention","Court of Appeals Judicial Retention - Fifth District","Shall Judge Elaine B. Brown be retained in office?","Spencer","Locality","6979","1480"
"2020 General Election","Spencer","Court Of Appeals Judge Retention","Court of Appeals Judicial Retention - Fifth District","Shall Judge Margret G. Robb be retained in office?","Spencer","Locality","6706","1598"
"2020 General Election","Spencer","Court Of Appeals Judge Retention","Court of Appeals Judicial Retention - First District","Shall Judge Lloyd Mark Bailey be retained in office?","Spencer","Locality","6535","1728"
"2020 General Election","Spencer","Court Of Appeals Judge Retention","Court of Appeals Judicial Retention - Fourth District","Shall Judge Melissa S. May be retained in office?","Spencer","Locality","6808","1554"
"2020 General Election","Spencer","Supreme Court Justice Retention","Retention of Justice of the Supreme Court of Indiana","Shall Justice Christopher M. Goff be retained in office?","Spencer","Locality","6641","1711"
"2020 General Election","St. Joseph","Court Of Appeals Judge Retention","Court of Appeals Judicial Retention - Fifth District","Shall Judge Elaine B. Brown be retained in office?","St. Joseph","Locality","65794","17724"
"2020 General Election","St. Joseph","Court Of Appeals Judge Retention","Court of Appeals Judicial Retention - Fifth District","Shall Judge Margret G. Robb be retained in office?","St. Joseph","Locality","65848","16664"
"2020 General Election","St. Joseph","Court Of Appeals Judge Retention","Court of Appeals Judicial Retention - Fourth District","Shall Judge Melissa S. May be retained in office?","St. Joseph","Locality","66494","16087"
"2020 General Election","St. Joseph","Court Of Appeals Judge Retention","Court of Appeals Judicial Retention - Third District","Shall Judge Elizabeth Thoman Tavitas be retained in office?","St. Joseph","Locality","65145","16891"
"2020 General Election","St. Joseph","Local Judge Retention","Chapleau - St. Joseph Judicial Retention","Shall Judge David C. Chapleau of the St. Joseph superior court be retained in office for an additional term?","St. Joseph","Locality","64488","18770"
"2020 General Election","St. Joseph","Local Judge Retention","Marnocha - St. Joseph County Judicial Retention","Shall Judge John M. Marnocha of St. Joseph superior court be retained in office for an additional term?","St. Joseph","Locality","66980","19131"
"2020 General Election","St. Joseph","Supreme Court Justice Retention","Retention of Justice of the Supreme Court of Indiana","Shall Justice Christopher M. Goff be retained in office?","St. Joseph","Locality","63913","20086"
"2020 General Election","Starke","Court Of Appeals Judge Retention","Court of Appeals Judicial Retention - Fifth District","Shall Judge Elaine B. Brown be retained in office?","Starke","Locality","5709","1861"
